fixture	nupic_dssim	tinypng_dssim
mi0.png	0.000016	0.000006
mi1.png	0.000018	0.000006
mi2.png	0.000016	0.000005
n00_mars.png	0.001595	0.002005
n01_mars.png	0.003032	0.003190
n02_mars.png	0.002384	0.002485
n03_mars.png	0.004281	0.004058
n04_mars.png	0.003349	0.002910
n05_jupiter.png	0.000374	0.000302
n06_jupiter.png	0.005130	0.003063
n07_jupiter.png	0.000629	0.000651
n08_jupiter.png	0.001285	0.001123
n09_nebula.png	0.003444	0.008298
n10_nebula.png	0.001265	0.002352
n11_nebula.png	0.000000	0.005113
n12_nebula.png	0.001612	0.003623
n13_nebula.png	0.002291	0.004253
n14_galaxy.png	0.001078	0.002720
n15_galaxy.png	0.001288	0.003915
n16_galaxy.png	0.000591	0.002027
n17_galaxy.png	0.000000	0.003261
n18_galaxy.png	0.001106	0.003410
n19_moon.png	0.000019	0.000652
n20_moon.png	0.000705	0.001135
n21_sun.png	0.014727	0.015112
n22_sun.png	0.000382	0.001707
n23_sun.png	0.001246	0.002362
n24_sun.png	0.000000	0.017567
n25_hubble.png	0.001197	0.002190
n26_hubble.png	0.000809	0.001385
n27_hubble.png	0.004372	0.003664
n28_astronaut.png	0.003699	0.004752
n29_astronaut.png	0.005630	0.005080
n30_astronaut.png	0.005057	0.005185
n31_rover.png	0.001370	0.001354
n32_rover.png	0.000076	0.000439
n33_rover.png	0.001135	0.001125
n34_comet.png	0.000195	0.003450
n35_comet.png	0.000334	0.001088
n36_comet.png	0.000006	0.000632
p0_480x320.png	0.002922	0.004327
p100_1024x768.png	0.000948	0.001635
p101_1024x768.png	0.001335	0.001475
p102_1024x768.png	0.000005	0.000156
p103_1024x768.png	0.000083	0.000301
p104_1024x768.png	0.000911	0.001018
p105_1024x768.png	0.000655	0.001369
p106_1024x768.png	0.000032	0.000108
p107_1024x768.png	0.000000	0.000889
p108_1024x768.png	0.000472	0.000683
p109_1024x768.png	0.000740	0.000916
p10_480x320.png	0.000563	0.000587
p110_1024x768.png	0.000044	0.000135
p111_1024x768.png	0.001652	0.001468
p112_1024x768.png	0.000428	0.000495
p113_1024x768.png	0.000942	0.001041
p114_1024x768.png	0.001037	0.001354
p115_1024x768.png	0.000000	0.001970
p116_1024x768.png	0.002189	0.002709
p117_1024x768.png	0.000020	0.000156
p118_1024x768.png	0.003409	0.001719
p119_1024x768.png	0.000333	0.000344
p11_480x320.png	0.000989	0.001647
p120_1920x1080.png	0.004908	0.006654
p121_1920x1080.png	0.004583	0.004316
p122_1920x1080.png	0.004795	0.003831
p123_1920x1080.png	0.006540	0.007202
p124_1920x1080.png	0.003086	0.003138
p125_1920x1080.png	0.000000	0.009766
p126_1920x1080.png	0.004067	0.003996
p127_1920x1080.png	0.001435	0.001289
p128_1920x1080.png	0.001075	0.000997
p129_1920x1080.png	0.000850	0.000688
p12_480x320.png	0.000670	0.000892
p130_1920x1080.png	0.000728	0.000899
p131_1920x1080.png	0.001418	0.001911
p132_1920x1080.png	0.000874	0.001235
p133_1920x1080.png	0.000906	0.001036
p134_1920x1080.png	0.000814	0.000990
p135_1920x1080.png	0.001065	0.001255
p136_1920x1080.png	0.001711	0.001485
p137_1920x1080.png	0.002837	0.002387
p138_1920x1080.png	0.002805	0.002074
p139_1920x1080.png	0.001140	0.001191
p13_480x320.png	0.000391	0.000600
p140_1920x1080.png	0.009845	0.010287
p141_1920x1080.png	0.000249	0.000469
p142_1920x1080.png	0.000460	0.000802
p143_1920x1080.png	0.000000	0.001472
p144_1920x1080.png	0.000900	0.001040
p145_1920x1080.png	0.000284	0.000406
p146_1920x1080.png	0.000977	0.001356
p147_1920x1080.png	0.001886	0.001383
p148_1920x1080.png	0.000624	0.000901
p149_1920x1080.png	0.003633	0.002464
p14_480x320.png	0.000632	0.000756
p150_1920x1080.png	0.000210	0.000772
p151_1920x1080.png	0.000195	0.000292
p152_1920x1080.png	0.003764	0.005142
p153_1920x1080.png	0.005851	0.007764
p154_1920x1080.png	0.006599	0.002595
p155_1920x1080.png	0.000403	0.000539
p156_1920x1080.png	0.000550	0.000742
p157_1920x1080.png	0.000687	0.000983
p158_1920x1080.png	0.000000	0.000562
p159_1920x1080.png	0.000751	0.000924
p15_480x320.png	0.001047	0.001201
p160_1920x1080.png	0.001663	0.002318
p161_1920x1080.png	0.001657	0.001555
p162_1920x1080.png	0.000049	0.000208
p163_1920x1080.png	0.000122	0.000641
p164_1920x1080.png	0.000975	0.001032
p165_1920x1080.png	0.000755	0.001307
p166_1920x1080.png	0.000037	0.000124
p167_1920x1080.png	0.000000	0.000880
p168_1920x1080.png	0.000614	0.000789
p169_1920x1080.png	0.000946	0.001075
p16_480x320.png	0.001136	0.001276
p170_1920x1080.png	0.000045	0.000168
p171_1920x1080.png	0.000000	0.002160
p172_1920x1080.png	0.000000	0.000452
p173_1920x1080.png	0.000891	0.001048
p174_1920x1080.png	0.001199	0.001580
p175_1920x1080.png	0.000000	0.001966
p176_1920x1080.png	0.002832	0.003493
p177_1920x1080.png	0.000058	0.000207
