fixture	nupic_ssim	tinypng_ssim
mi0.png	100.0000	100.0000
mi1.png	100.0000	100.0000
mi2.png	100.0000	100.0000
n00_mars.png	71.6987	73.6706
n01_mars.png	67.1552	65.0786
n02_mars.png	70.5968	69.2745
n03_mars.png	68.0343	68.7889
n04_mars.png	62.5830	64.7912
n05_jupiter.png	84.2039	82.9000
n06_jupiter.png	91.7082	91.5715
n07_jupiter.png	80.4571	81.6640
n08_jupiter.png	80.1788	81.6449
n09_nebula.png	73.6914	67.5519
n10_nebula.png	78.1989	78.3948
n11_nebula.png	100.0000	74.3869
n12_nebula.png	71.2383	74.2652
n13_nebula.png	76.4614	70.8467
n14_galaxy.png	86.2170	84.9449
n15_galaxy.png	87.8064	85.4157
n16_galaxy.png	87.9739	86.4954
n17_galaxy.png	100.0000	84.7125
n18_galaxy.png	86.6262	85.0836
n19_moon.png	92.2200	91.1768
n20_moon.png	86.2277	84.3519
n21_sun.png	58.9092	58.4978
n22_sun.png	90.8596	88.6289
n23_sun.png	90.9332	89.0850
n24_sun.png	100.0000	60.6046
n25_hubble.png	71.7059	73.7497
n26_hubble.png	80.4603	78.6927
n27_hubble.png	87.7236	87.4721
n28_astronaut.png	71.8730	68.1216
n29_astronaut.png	59.9026	62.9976
n30_astronaut.png	59.8600	62.2550
n31_rover.png	79.3319	76.3537
n32_rover.png	93.8217	87.2702
n33_rover.png	72.2021	74.4283
n34_comet.png	89.8376	80.8241
n35_comet.png	90.7892	89.4733
n36_comet.png	98.4188	95.0592
p0_480x320.png	77.5994	76.5675
p100_1024x768.png	74.8598	68.9544
p101_1024x768.png	71.6157	72.2253
p102_1024x768.png	97.1204	91.0651
p103_1024x768.png	91.4755	85.6735
p104_1024x768.png	77.1738	70.8793
p105_1024x768.png	78.3389	74.3315
p106_1024x768.png	93.9445	90.4243
p107_1024x768.png	100.0000	77.5981
p108_1024x768.png	77.1694	75.6109
p109_1024x768.png	80.3314	79.8190
p10_480x320.png	86.0931	82.7331
p110_1024x768.png	93.5321	92.0894
p111_1024x768.png	70.8964	73.0256
p112_1024x768.png	76.3925	77.0929
p113_1024x768.png	79.6670	76.2500
p114_1024x768.png	77.6432	70.1501
p115_1024x768.png	100.0000	65.7628
p116_1024x768.png	66.5177	69.1998
p117_1024x768.png	95.9259	92.6220
p118_1024x768.png	71.1880	78.2808
p119_1024x768.png	85.6554	85.6848
p11_480x320.png	84.6580	83.2897
p120_1920x1080.png	66.6129	67.8827
p121_1920x1080.png	76.4923	75.5683
p122_1920x1080.png	66.8228	68.3279
p123_1920x1080.png	62.3281	65.4377
p124_1920x1080.png	66.9138	70.7815
p125_1920x1080.png	100.0000	66.5327
p126_1920x1080.png	69.3128	69.7098
p127_1920x1080.png	77.2573	79.0398
p128_1920x1080.png	78.6237	78.9315
p129_1920x1080.png	79.1626	74.3508
p12_480x320.png	81.7578	78.9391
p130_1920x1080.png	81.3366	77.6045
p131_1920x1080.png	77.7708	77.4259
p132_1920x1080.png	77.6733	72.4589
p133_1920x1080.png	81.6908	78.7603
p134_1920x1080.png	78.8166	75.7903
p135_1920x1080.png	77.2389	73.8925
p136_1920x1080.png	63.9325	71.3528
p137_1920x1080.png	74.9642	64.3326
p138_1920x1080.png	75.3454	67.2324
p139_1920x1080.png	69.6446	69.5218
p13_480x320.png	85.5815	84.7305
p140_1920x1080.png	74.5377	69.2092
p141_1920x1080.png	81.7658	79.9407
p142_1920x1080.png	85.7983	84.6769
p143_1920x1080.png	100.0000	79.3170
p144_1920x1080.png	74.5495	79.3007
p145_1920x1080.png	84.7230	83.2738
p146_1920x1080.png	77.2636	74.7389
p147_1920x1080.png	78.3131	74.7131
p148_1920x1080.png	78.8401	79.8249
p149_1920x1080.png	65.1336	72.7737
p14_480x320.png	81.7387	80.6949
p150_1920x1080.png	91.4572	85.7847
p151_1920x1080.png	84.2316	83.0564
p152_1920x1080.png	73.9373	72.9615
p153_1920x1080.png	71.9290	74.4037
p154_1920x1080.png	62.3469	65.4535
