fixture	input_size	nupic_size	tinypng_size	ratio_n_over_t
mi0.png	1033	727	831	0.8748
mi1.png	1145	740	874	0.8467
mi2.png	949	593	698	0.8496
n00_mars.png	927553	254458	340897	0.7464
n01_mars.png	1432077	322292	479278	0.6725
n02_mars.png	1431364	371572	544523	0.6824
n03_mars.png	1183880	308972	483486	0.6391
n04_mars.png	1494658	368487	504710	0.7301
n05_jupiter.png	501635	146482	207736	0.7051
n06_jupiter.png	398816	110268	186903	0.5900
n07_jupiter.png	410568	124430	160749	0.7741
n08_jupiter.png	328521	95807	126350	0.7583
n09_nebula.png	1530054	459804	494454	0.9299
n10_nebula.png	446335	167023	182134	0.9170
n11_nebula.png	229743	171176	60684	2.8208
n12_nebula.png	2323914	710732	769676	0.9234
n13_nebula.png	2017879	600663	645039	0.9312
n14_galaxy.png	1869022	779758	901681	0.8648
n15_galaxy.png	399632	165537	206151	0.8030
n16_galaxy.png	2198947	978680	1112319	0.8799
n17_galaxy.png	288638	194060	120520	1.6102
n18_galaxy.png	344195	132427	150877	0.8777
n19_moon.png	530171	297763	273925	1.0870
n20_moon.png	526270	219738	271814	0.8084
n21_sun.png	777511	159680	225025	0.7096
n22_sun.png	192260	66334	71633	0.9260
n23_sun.png	395790	124663	201468	0.6188
n24_sun.png	1478547	1118488	392459	2.8499
n25_hubble.png	3547095	1304418	1407354	0.9269
n26_hubble.png	301103	74647	95042	0.7854
n27_hubble.png	346755	96692	126717	0.7631
n28_astronaut.png	1429884	337157	451243	0.7472
n29_astronaut.png	1353668	328795	455819	0.7213
n30_astronaut.png	1061916	232597	382847	0.6075
n31_rover.png	517273	158370	177902	0.8902
n32_rover.png	704659	516979	482564	1.0713
n33_rover.png	1361652	349799	488730	0.7157
n34_comet.png	155610	71485	63336	1.1287
n35_comet.png	295290	138313	163331	0.8468
n36_comet.png	24539	17594	12835	1.3708
p0_480x320.png	179938	44916	55730	0.8060
p100_1024x768.png	940825	252202	344191	0.7327
p101_1024x768.png	771067	190901	287524	0.6639
p102_1024x768.png	596698	332938	290334	1.1467
p103_1024x768.png	373963	182110	161390	1.1284
p104_1024x768.png	909677	232784	318336	0.7313
p105_1024x768.png	966084	266371	308358	0.8638
p106_1024x768.png	461455	232913	222351	1.0475
p107_1024x768.png	456350	287057	185286	1.5493
p108_1024x768.png	610746	188733	273177	0.6909
p109_1024x768.png	1092199	383212	438797	0.8733
p10_480x320.png	156587	50825	63638	0.7987
p110_1024x768.png	660437	314853	319336	0.9860
p111_1024x768.png	593099	155607	238960	0.6512
p112_1024x768.png	749914	220417	320946	0.6868
p113_1024x768.png	1015649	278096	348281	0.7985
p114_1024x768.png	1387691	400054	439343	0.9106
p115_1024x768.png	618461	399695	204799	1.9516
p116_1024x768.png	1236565	336654	431423	0.7803
p117_1024x768.png	741842	412693	374074	1.1032
p118_1024x768.png	1047531	273582	387003	0.7069
p119_1024x768.png	420880	137377	199798	0.6876
p11_480x320.png	191725	56605	68613	0.8250
p120_1920x1080.png	1503103	342482	520637	0.6578
p121_1920x1080.png	1627360	434274	542483	0.8005
p122_1920x1080.png	1356426	309340	491824	0.6290
p123_1920x1080.png	1525791	313493	546648	0.5735
p124_1920x1080.png	1560726	346041	515875	0.6708
p125_1920x1080.png	1276162	831892	477885	1.7408
p126_1920x1080.png	1885090	423286	654601	0.6466
p127_1920x1080.png	1844022	564913	678969	0.8320
p128_1920x1080.png	2012972	659910	756448	0.8724
p129_1920x1080.png	2773051	954763	1054145	0.9057
p12_480x320.png	238978	76982	84452	0.9115
p130_1920x1080.png	2146784	789787	887106	0.8903
p131_1920x1080.png	2013685	619982	751372	0.8251
p132_1920x1080.png	3458697	1264443	1276340	0.9907
p133_1920x1080.png	2301870	906968	1007424	0.9003
p134_1920x1080.png	3499540	1149703	1302079	0.8830
p135_1920x1080.png	2311610	768107	835245	0.9196
p136_1920x1080.png	3886754	1308837	1427597	0.9168
p137_1920x1080.png	2997665	939884	946813	0.9927
p138_1920x1080.png	3341583	878016	976528	0.8991
p139_1920x1080.png	2191219	565403	752508	0.7514
p13_480x320.png	168515	62344	72796	0.8564
p140_1920x1080.png	2929015	816988	890636	0.9173
p141_1920x1080.png	2889924	1288592	1537054	0.8384
p142_1920x1080.png	1139624	393647	570681	0.6898
p143_1920x1080.png	1360105	801322	491175	1.6314
p144_1920x1080.png	3108773	875230	1071395	0.8169
p145_1920x1080.png	2275311	1090014	1317884	0.8271
p146_1920x1080.png	2571012	802772	898833	0.8931
p147_1920x1080.png	4282931	1481996	1463999	1.0123
p148_1920x1080.png	3847307	1511494	1558895	0.9696
p149_1920x1080.png	1491633	362897	649671	0.5586
p14_480x320.png	307858	110940	118639	0.9351
p150_1920x1080.png	883273	413853	391307	1.0576
p151_1920x1080.png	2843614	1277971	1432808	0.8919
p152_1920x1080.png	1994255	560305	748369	0.7487
p153_1920x1080.png	3871525	983205	1191403	0.8252
p154_1920x1080.png	1741630	350092	624033	0.5610
p155_1920x1080.png	1708173	552600	755114	0.7318
p156_1920x1080.png	1872055	612433	722150	0.8481
p157_1920x1080.png	1819678	625018	829269	0.7537
p158_1920x1080.png	756976	419011	381228	1.0991
p159_1920x1080.png	2368827	744422	935676	0.7956
p15_480x320.png	173345	52398	64533	0.8120
p160_1920x1080.png	2024209	510653	807968	0.6320
