fixture	input_size	tinypng_size	ratio	status
mi0.png	1033	831	0.8045	cached
mi1.png	1145	874	0.7633	cached
mi2.png	949	698	0.7355	cached
n00_mars.png	927553	340897	0.3675	cached
n01_mars.png	1432077	479278	0.3347	cached
n02_mars.png	1431364	544523	0.3804	cached
n03_mars.png	1183880	483486	0.4084	cached
n04_mars.png	1494658	504710	0.3377	cached
n05_jupiter.png	501635	207736	0.4141	cached
n06_jupiter.png	398816	186903	0.4686	cached
n07_jupiter.png	410568	160749	0.3915	cached
n08_jupiter.png	328521	126350	0.3846	cached
n09_nebula.png	1530054	494454	0.3232	cached
n10_nebula.png	446335	182134	0.4081	cached
n11_nebula.png	229743	60684	0.2641	cached
n12_nebula.png	2323914	769676	0.3312	cached
n13_nebula.png	2017879	645039	0.3197	cached
n14_galaxy.png	1869022	901681	0.4824	cached
n15_galaxy.png	399632	206151	0.5159	cached
n16_galaxy.png	2198947	1112319	0.5058	cached
n17_galaxy.png	288638	120520	0.4175	cached
n18_galaxy.png	344195	150877	0.4383	cached
n19_moon.png	530171	273925	0.5167	cached
n20_moon.png	526270	271814	0.5165	cached
n21_sun.png	777511	225025	0.2894	cached
n22_sun.png	192260	71633	0.3726	cached
n23_sun.png	395790	201468	0.5090	cached
n24_sun.png	1478547	392459	0.2654	cached
n25_hubble.png	3547095	1407354	0.3968	cached
n26_hubble.png	301103	95042	0.3156	cached
n27_hubble.png	346755	126717	0.3654	cached
n28_astronaut.png	1429884	451243	0.3156	cached
n29_astronaut.png	1353668	455819	0.3367	cached
n30_astronaut.png	1061916	382847	0.3605	cached
n31_rover.png	517273	177902	0.3439	cached
n32_rover.png	704659	482564	0.6848	cached
n33_rover.png	1361652	488730	0.3589	cached
n34_comet.png	155610	63336	0.4070	cached
n35_comet.png	295290	163331	0.5531	cached
n36_comet.png	24539	12835	0.5230	cached
p0_480x320.png	179938	55730	0.3097	cached
p100_1024x768.png	940825	344191	0.3658	cached
p101_1024x768.png	771067	287524	0.3729	cached
p102_1024x768.png	596698	290334	0.4866	cached
p103_1024x768.png	373963	161390	0.4316	cached
p104_1024x768.png	909677	318336	0.3499	cached
p105_1024x768.png	966084	308358	0.3192	cached
p106_1024x768.png	461455	222351	0.4818	cached
p107_1024x768.png	456350	185286	0.4060	cached
p108_1024x768.png	610746	273177	0.4473	cached
p109_1024x768.png	1092199	438797	0.4018	cached
p10_480x320.png	156587	63638	0.4064	cached
p110_1024x768.png	660437	319336	0.4835	cached
p111_1024x768.png	593099	238960	0.4029	cached
p112_1024x768.png	749914	320946	0.4280	cached
p113_1024x768.png	1015649	348281	0.3429	cached
p114_1024x768.png	1387691	439343	0.3166	cached
p115_1024x768.png	618461	204799	0.3311	cached
p116_1024x768.png	1236565	431423	0.3489	cached
p117_1024x768.png	741842	374074	0.5043	cached
p118_1024x768.png	1047531	387003	0.3694	cached
