fixture	w	h	tiny_size	tiny_dssim	K	d	p	size	dssim	size_ratio	dssim_delta	size_pass	dssim_pass	both_pass
n24_sun.png	1280	1280	392459	0.017567	64	0.0	6	189689	0.030500	0.4833	+0.012933	Y	N	N
n24_sun.png	1280	1280	392459	0.017567	64	0.3	6	189308	0.030563	0.4824	+0.012996	Y	N	N
n24_sun.png	1280	1280	392459	0.017567	64	0.6	6	189614	0.030550	0.4831	+0.012983	Y	N	N
n24_sun.png	1280	1280	392459	0.017567	96	0.0	6	235339	0.025144	0.5997	+0.007577	Y	N	N
n24_sun.png	1280	1280	392459	0.017567	96	0.3	6	234599	0.025215	0.5978	+0.007648	Y	N	N
n24_sun.png	1280	1280	392459	0.017567	96	0.6	6	234786	0.025237	0.5982	+0.007670	Y	N	N
n24_sun.png	1280	1280	392459	0.017567	128	0.0	6	273479	0.022301	0.6968	+0.004735	Y	N	N
n24_sun.png	1280	1280	392459	0.017567	128	0.3	6	272039	0.022377	0.6932	+0.004810	Y	N	N
n24_sun.png	1280	1280	392459	0.017567	128	0.6	6	272108	0.022404	0.6933	+0.004837	Y	N	N
n24_sun.png	1280	1280	392459	0.017567	160	0.0	6	293640	0.019666	0.7482	+0.002099	Y	N	N
n24_sun.png	1280	1280	392459	0.017567	160	0.3	6	297405	0.019714	0.7578	+0.002147	Y	N	N
n24_sun.png	1280	1280	392459	0.017567	160	0.6	6	297542	0.019644	0.7581	+0.002077	Y	N	N
n24_sun.png	1280	1280	392459	0.017567	192	0.0	6	309431	0.017754	0.7884	+0.000187	Y	N	N
n24_sun.png	1280	1280	392459	0.017567	192	0.3	6	313597	0.017848	0.7991	+0.000281	Y	N	N
n24_sun.png	1280	1280	392459	0.017567	192	0.6	6	310722	0.017851	0.7917	+0.000284	Y	N	N
n24_sun.png	1280	1280	392459	0.017567	224	0.0	6	322296	0.015586	0.8212	-0.001981	N	Y	N
n24_sun.png	1280	1280	392459	0.017567	224	0.3	6	320629	0.015654	0.8170	-0.001913	N	Y	N
n24_sun.png	1280	1280	392459	0.017567	224	0.6	6	320506	0.015646	0.8167	-0.001921	N	Y	N
n24_sun.png	1280	1280	392459	0.017567	256	0.0	6	326420	0.014166	0.8317	-0.003401	N	Y	N
n24_sun.png	1280	1280	392459	0.017567	256	0.3	6	321305	0.014194	0.8187	-0.003373	N	Y	N
n24_sun.png	1280	1280	392459	0.017567	256	0.6	6	321407	0.014194	0.8190	-0.003373	N	Y	N
p245_3840x2560.png	3840	2560	1990567	0.011483	64	0.0	6	386559	0.018284	0.1942	+0.006801	Y	N	N
p245_3840x2560.png	3840	2560	1990567	0.011483	64	0.3	6	862352	0.013069	0.4332	+0.001585	Y	N	N
p245_3840x2560.png	3840	2560	1990567	0.011483	64	0.6	6	1304487	0.010115	0.6553	-0.001368	Y	Y	Y
p245_3840x2560.png	3840	2560	1990567	0.011483	96	0.0	6	469860	0.015274	0.2360	+0.003791	Y	N	N
p245_3840x2560.png	3840	2560	1990567	0.011483	96	0.3	6	993434	0.011292	0.4991	-0.000191	Y	Y	Y
p245_3840x2560.png	3840	2560	1990567	0.011483	96	0.6	6	1458033	0.008945	0.7325	-0.002538	Y	Y	Y
p245_3840x2560.png	3840	2560	1990567	0.011483	128	0.0	6	552918	0.013626	0.2778	+0.002143	Y	N	N
p245_3840x2560.png	3840	2560	1990567	0.011483	128	0.3	6	1119543	0.010119	0.5624	-0.001364	Y	Y	Y
p245_3840x2560.png	3840	2560	1990567	0.011483	128	0.6	6	1590237	0.008016	0.7989	-0.003467	Y	Y	Y
p245_3840x2560.png	3840	2560	1990567	0.011483	160	0.0	6	618284	0.012028	0.3106	+0.000545	Y	N	N
p245_3840x2560.png	3840	2560	1990567	0.011483	160	0.3	6	1194429	0.009011	0.6000	-0.002472	Y	Y	Y
p245_3840x2560.png	3840	2560	1990567	0.011483	160	0.6	6	1702196	0.007133	0.8551	-0.004350	N	Y	N
p245_3840x2560.png	3840	2560	1990567	0.011483	192	0.0	6	676711	0.011417	0.3400	-0.000066	Y	Y	Y
p245_3840x2560.png	3840	2560	1990567	0.011483	192	0.3	6	1273125	0.008580	0.6396	-0.002903	Y	Y	Y
p245_3840x2560.png	3840	2560	1990567	0.011483	192	0.6	6	1787997	0.006884	0.8982	-0.004599	N	Y	N
p245_3840x2560.png	3840	2560	1990567	0.011483	224	0.0	6	715845	0.011059	0.3596	-0.000424	Y	Y	Y
p245_3840x2560.png	3840	2560	1990567	0.011483	224	0.3	6	1323911	0.008299	0.6651	-0.003184	Y	Y	Y
p245_3840x2560.png	3840	2560	1990567	0.011483	224	0.6	6	1876967	0.006612	0.9429	-0.004871	N	Y	N
p245_3840x2560.png	3840	2560	1990567	0.011483	256	0.0	6	739219	0.010956	0.3714	-0.000527	Y	Y	Y
p245_3840x2560.png	3840	2560	1990567	0.011483	256	0.3	6	1360601	0.008194	0.6835	-0.003289	Y	Y	Y
p245_3840x2560.png	3840	2560	1990567	0.011483	256	0.6	6	1926154	0.006524	0.9676	-0.004959	N	Y	N
p185_2400x1600.png	2400	1600	846782	0.010896	64	0.0	6	215519	0.018628	0.2545	+0.007731	Y	N	N
p185_2400x1600.png	2400	1600	846782	0.010896	64	0.3	6	395167	0.014290	0.4667	+0.003394	Y	N	N
p185_2400x1600.png	2400	1600	846782	0.010896	64	0.6	6	555195	0.011168	0.6557	+0.000272	Y	N	N
p185_2400x1600.png	2400	1600	846782	0.010896	96	0.0	6	247310	0.014615	0.2921	+0.003718	Y	N	N
p185_2400x1600.png	2400	1600	846782	0.010896	96	0.3	6	459903	0.011402	0.5431	+0.000506	Y	N	N
p185_2400x1600.png	2400	1600	846782	0.010896	96	0.6	6	629923	0.009084	0.7439	-0.001812	Y	Y	Y
p185_2400x1600.png	2400	1600	846782	0.010896	128	0.0	6	274774	0.012373	0.3245	+0.001477	Y	N	N
p185_2400x1600.png	2400	1600	846782	0.010896	128	0.3	6	507391	0.009540	0.5992	-0.001356	Y	Y	Y
p185_2400x1600.png	2400	1600	846782	0.010896	128	0.6	6	691672	0.007688	0.8168	-0.003208	N	Y	N
p185_2400x1600.png	2400	1600	846782	0.010896	160	0.0	6	317183	0.011618	0.3746	+0.000721	Y	N	N
p185_2400x1600.png	2400	1600	846782	0.010896	160	0.3	6	558563	0.009105	0.6596	-0.001791	Y	Y	Y
p185_2400x1600.png	2400	1600	846782	0.010896	160	0.6	6	745513	0.007331	0.8804	-0.003565	N	Y	N
p185_2400x1600.png	2400	1600	846782	0.010896	192	0.0	6	344978	0.010626	0.4074	-0.000270	Y	Y	Y
p185_2400x1600.png	2400	1600	846782	0.010896	192	0.3	6	593172	0.008379	0.7005	-0.002518	Y	Y	Y
p185_2400x1600.png	2400	1600	846782	0.010896	192	0.6	6	784155	0.006741	0.9260	-0.004155	N	Y	N
p185_2400x1600.png	2400	1600	846782	0.010896	224	0.0	6	361730	0.010185	0.4272	-0.000711	Y	Y	Y
p185_2400x1600.png	2400	1600	846782	0.010896	224	0.3	6	615710	0.008122	0.7271	-0.002774	Y	Y	Y
p185_2400x1600.png	2400	1600	846782	0.010896	224	0.6	6	815294	0.006566	0.9628	-0.004330	N	Y	N
p185_2400x1600.png	2400	1600	846782	0.010896	256	0.0	6	380649	0.010086	0.4495	-0.000810	Y	Y	Y
p185_2400x1600.png	2400	1600	846782	0.010896	256	0.3	6	635003	0.008056	0.7499	-0.002841	Y	Y	Y
p185_2400x1600.png	2400	1600	846782	0.010896	256	0.6	6	842955	0.006538	0.9955	-0.004358	N	Y	N
p125_1920x1080.png	1920	1080	477885	0.009766	64	0.0	6	125980	0.017342	0.2636	+0.007576	Y	N	N
p125_1920x1080.png	1920	1080	477885	0.009766	64	0.3	6	125383	0.017305	0.2624	+0.007539	Y	N	N
p125_1920x1080.png	1920	1080	477885	0.009766	64	0.6	6	124847	0.017308	0.2612	+0.007542	Y	N	N
p125_1920x1080.png	1920	1080	477885	0.009766	96	0.0	6	154612	0.013867	0.3235	+0.004101	Y	N	N
p125_1920x1080.png	1920	1080	477885	0.009766	96	0.3	6	152675	0.013833	0.3195	+0.004068	Y	N	N
p125_1920x1080.png	1920	1080	477885	0.009766	96	0.6	6	152858	0.013832	0.3199	+0.004066	Y	N	N
p125_1920x1080.png	1920	1080	477885	0.009766	128	0.0	6	177592	0.012117	0.3716	+0.002351	Y	N	N
p125_1920x1080.png	1920	1080	477885	0.009766	128	0.3	6	175909	0.012078	0.3681	+0.002312	Y	N	N
p125_1920x1080.png	1920	1080	477885	0.009766	128	0.6	6	176160	0.012087	0.3686	+0.002321	Y	N	N
p125_1920x1080.png	1920	1080	477885	0.009766	160	0.0	6	197945	0.011152	0.4142	+0.001386	Y	N	N
p125_1920x1080.png	1920	1080	477885	0.009766	160	0.3	6	196354	0.011173	0.4109	+0.001407	Y	N	N
p125_1920x1080.png	1920	1080	477885	0.009766	160	0.6	6	196023	0.011185	0.4102	+0.001419	Y	N	N
p125_1920x1080.png	1920	1080	477885	0.009766	192	0.0	6	209499	0.010255	0.4384	+0.000489	Y	N	N
p125_1920x1080.png	1920	1080	477885	0.009766	192	0.3	6	206875	0.010290	0.4329	+0.000524	Y	N	N
p125_1920x1080.png	1920	1080	477885	0.009766	192	0.6	6	207637	0.010319	0.4345	+0.000553	Y	N	N
p125_1920x1080.png	1920	1080	477885	0.009766	224	0.0	6	219721	0.010013	0.4598	+0.000247	Y	N	N
p125_1920x1080.png	1920	1080	477885	0.009766	224	0.3	6	217645	0.010050	0.4554	+0.000284	Y	N	N
p125_1920x1080.png	1920	1080	477885	0.009766	224	0.6	6	216829	0.010047	0.4537	+0.000281	Y	N	N
p125_1920x1080.png	1920	1080	477885	0.009766	256	0.0	6	228908	0.009900	0.4790	+0.000134	Y	N	N
p125_1920x1080.png	1920	1080	477885	0.009766	256	0.3	6	226528	0.009925	0.4740	+0.000159	Y	N	N
p125_1920x1080.png	1920	1080	477885	0.009766	256	0.6	6	226285	0.009933	0.4735	+0.000167	Y	N	N
p243_3840x2560.png	3840	2560	2234043	0.009195	64	0.0	6	533720	0.018701	0.2389	+0.009506	Y	N	N
p243_3840x2560.png	3840	2560	2234043	0.009195	64	0.3	6	1042818	0.013197	0.4668	+0.004002	Y	N	N
p243_3840x2560.png	3840	2560	2234043	0.009195	64	0.6	6	1453339	0.009831	0.6505	+0.000636	Y	N	N
p243_3840x2560.png	3840	2560	2234043	0.009195	96	0.0	6	679569	0.014155	0.3042	+0.004960	Y	N	N
p243_3840x2560.png	3840	2560	2234043	0.009195	96	0.3	6	1246006	0.010418	0.5577	+0.001223	Y	N	N
p243_3840x2560.png	3840	2560	2234043	0.009195	96	0.6	6	1682794	0.007882	0.7533	-0.001312	Y	Y	Y
p243_3840x2560.png	3840	2560	2234043	0.009195	128	0.0	6	777929	0.012306	0.3482	+0.003111	Y	N	N
p243_3840x2560.png	3840	2560	2234043	0.009195	128	0.3	6	1381172	0.009317	0.6182	+0.000122	Y	N	N
p243_3840x2560.png	3840	2560	2234043	0.009195	128	0.6	6	1851943	0.007176	0.8290	-0.002019	N	Y	N
p243_3840x2560.png	3840	2560	2234043	0.009195	160	0.0	6	859101	0.010690	0.3845	+0.001495	Y	N	N
p243_3840x2560.png	3840	2560	2234043	0.009195	160	0.3	6	1479243	0.008031	0.6621	-0.001164	Y	Y	Y
p243_3840x2560.png	3840	2560	2234043	0.009195	160	0.6	6	1961295	0.006200	0.8779	-0.002994	N	Y	N
p243_3840x2560.png	3840	2560	2234043	0.009195	192	0.0	6	910980	0.009866	0.4078	+0.000671	Y	N	N
p243_3840x2560.png	3840	2560	2234043	0.009195	192	0.3	6	1561383	0.007490	0.6989	-0.001705	Y	Y	Y
p243_3840x2560.png	3840	2560	2234043	0.009195	192	0.6	6	2045484	0.005808	0.9156	-0.003386	N	Y	N
p243_3840x2560.png	3840	2560	2234043	0.009195	224	0.0	6	964008	0.009317	0.4315	+0.000122	Y	N	N
p243_3840x2560.png	3840	2560	2234043	0.009195	224	0.3	6	1613536	0.007155	0.7222	-0.002040	Y	Y	Y
p243_3840x2560.png	3840	2560	2234043	0.009195	224	0.6	6	2114959	0.005598	0.9467	-0.003596	N	Y	N
p243_3840x2560.png	3840	2560	2234043	0.009195	256	0.0	6	995788	0.008801	0.4457	-0.000394	Y	Y	Y
p243_3840x2560.png	3840	2560	2234043	0.009195	256	0.3	6	1667812	0.006799	0.7465	-0.002395	Y	Y	Y
p243_3840x2560.png	3840	2560	2234043	0.009195	256	0.6	6	2176918	0.005308	0.9744	-0.003887	N	Y	N
p183_2400x1600.png	2400	1600	946607	0.008400	64	0.0	6	283110	0.016321	0.2991	+0.007922	Y	N	N
p183_2400x1600.png	2400	1600	946607	0.008400	64	0.3	6	474757	0.011653	0.5015	+0.003253	Y	N	N
p183_2400x1600.png	2400	1600	946607	0.008400	64	0.6	6	634336	0.008937	0.6701	+0.000538	Y	N	N
p183_2400x1600.png	2400	1600	946607	0.008400	96	0.0	6	348696	0.013274	0.3684	+0.004874	Y	N	N
p183_2400x1600.png	2400	1600	946607	0.008400	96	0.3	6	556531	0.009883	0.5879	+0.001483	Y	N	N
p183_2400x1600.png	2400	1600	946607	0.008400	96	0.6	6	722667	0.007821	0.7634	-0.000579	Y	Y	Y
p183_2400x1600.png	2400	1600	946607	0.008400	128	0.0	6	388671	0.010865	0.4106	+0.002465	Y	N	N
p183_2400x1600.png	2400	1600	946607	0.008400	128	0.3	6	617866	0.008467	0.6527	+0.000067	Y	N	N
p183_2400x1600.png	2400	1600	946607	0.008400	128	0.6	6	795184	0.006694	0.8400	-0.001706	N	Y	N
p183_2400x1600.png	2400	1600	946607	0.008400	160	0.0	6	427390	0.009415	0.4515	+0.001015	Y	N	N
