fixture	family	pile	nupic_size	tiny_size	size_ratio	nupic_dssim	tiny_dssim	dssim_delta
mi0.png	mi	PileC	727	831	0.8748	0.000016	0.000006	+0.000010
mi1.png	mi	PileC	740	874	0.8467	0.000018	0.000006	+0.000012
mi2.png	mi	PileC	593	698	0.8496	0.000016	0.000005	+0.000011
n00_mars.png	n	PASS	254458	340897	0.7464	0.001595	0.002005	-0.000410
n01_mars.png	n	PASS	322292	479278	0.6725	0.003032	0.003190	-0.000158
n02_mars.png	n	PASS	371572	544523	0.6824	0.002384	0.002485	-0.000101
n03_mars.png	n	PileB	308972	483486	0.6391	0.004281	0.004058	+0.000223
n04_mars.png	n	PileB	368487	504710	0.7301	0.003349	0.002910	+0.000439
n05_jupiter.png	n	PileB	146482	207736	0.7051	0.000374	0.000302	+0.000072
n06_jupiter.png	n	PileB	110268	186903	0.5900	0.005130	0.003063	+0.002067
n07_jupiter.png	n	PASS	124430	160749	0.7741	0.000629	0.000651	-0.000022
n08_jupiter.png	n	PileB	95807	126350	0.7583	0.001285	0.001123	+0.000162
n09_nebula.png	n	PileA	459804	494454	0.9299	0.003444	0.008298	-0.004854
n10_nebula.png	n	PileA	167023	182134	0.9170	0.001265	0.002352	-0.001087
n11_nebula.png	n	PileA	171176	60684	2.8208	0.000000	0.005113	-0.005113
n12_nebula.png	n	PileA	710732	769676	0.9234	0.001612	0.003623	-0.002011
n13_nebula.png	n	PileA	600663	645039	0.9312	0.002291	0.004253	-0.001962
n14_galaxy.png	n	PileA	779758	901681	0.8648	0.001078	0.002720	-0.001642
n15_galaxy.png	n	PileA	165537	206151	0.8030	0.001288	0.003915	-0.002627
n16_galaxy.png	n	PileA	978680	1112319	0.8799	0.000591	0.002027	-0.001436
n17_galaxy.png	n	PileA	194060	120520	1.6102	0.000000	0.003261	-0.003261
n18_galaxy.png	n	PileA	132427	150877	0.8777	0.001106	0.003410	-0.002304
n19_moon.png	n	PileA	297763	273925	1.0870	0.000019	0.000652	-0.000633
n20_moon.png	n	PileA	219738	271814	0.8084	0.000705	0.001135	-0.000430
n21_sun.png	n	PASS	159680	225025	0.7096	0.014727	0.015112	-0.000385
n22_sun.png	n	PileA	66334	71633	0.9260	0.000382	0.001707	-0.001325
n23_sun.png	n	PASS	124663	201468	0.6188	0.001246	0.002362	-0.001116
n24_sun.png	n	PileA	1118488	392459	2.8499	0.000000	0.017567	-0.017567
n25_hubble.png	n	PileA	1304418	1407354	0.9269	0.001197	0.002190	-0.000993
n26_hubble.png	n	PASS	74647	95042	0.7854	0.000809	0.001385	-0.000576
n27_hubble.png	n	PileB	96692	126717	0.7631	0.004372	0.003664	+0.000708
n28_astronaut.png	n	PASS	337157	451243	0.7472	0.003699	0.004752	-0.001053
n29_astronaut.png	n	PileB	328795	455819	0.7213	0.005630	0.005080	+0.000550
n30_astronaut.png	n	PASS	232597	382847	0.6075	0.005057	0.005185	-0.000128
n31_rover.png	n	PileC	158370	177902	0.8902	0.001370	0.001354	+0.000016
n32_rover.png	n	PileA	516979	482564	1.0713	0.000076	0.000439	-0.000363
n33_rover.png	n	PileB	349799	488730	0.7157	0.001135	0.001125	+0.000010
n34_comet.png	n	PileA	71485	63336	1.1287	0.000195	0.003450	-0.003255
n35_comet.png	n	PileA	138313	163331	0.8468	0.000334	0.001088	-0.000754
n36_comet.png	n	PileA	17594	12835	1.3708	0.000006	0.000632	-0.000626
p0_480x320.png	p	PileA	44916	55730	0.8060	0.002922	0.004327	-0.001405
p100_1024x768.png	p	PASS	252202	344191	0.7327	0.000948	0.001635	-0.000687
p101_1024x768.png	p	PASS	190901	287524	0.6639	0.001335	0.001475	-0.000140
p102_1024x768.png	p	PileA	332938	290334	1.1467	0.000005	0.000156	-0.000151
p103_1024x768.png	p	PileA	182110	161390	1.1284	0.000083	0.000301	-0.000218
p104_1024x768.png	p	PASS	232784	318336	0.7313	0.000911	0.001018	-0.000107
p105_1024x768.png	p	PileA	266371	308358	0.8638	0.000655	0.001369	-0.000714
p106_1024x768.png	p	PileA	232913	222351	1.0475	0.000032	0.000108	-0.000076
p107_1024x768.png	p	PileA	287057	185286	1.5493	0.000000	0.000889	-0.000889
p108_1024x768.png	p	PASS	188733	273177	0.6909	0.000472	0.000683	-0.000211
p109_1024x768.png	p	PileA	383212	438797	0.8733	0.000740	0.000916	-0.000176
p10_480x320.png	p	PASS	50825	63638	0.7987	0.000563	0.000587	-0.000024
p110_1024x768.png	p	PileA	314853	319336	0.9860	0.000044	0.000135	-0.000091
p111_1024x768.png	p	PileB	155607	238960	0.6512	0.001652	0.001468	+0.000184
p112_1024x768.png	p	PASS	220417	320946	0.6868	0.000428	0.000495	-0.000067
p113_1024x768.png	p	PASS	278096	348281	0.7985	0.000942	0.001041	-0.000099
p114_1024x768.png	p	PileA	400054	439343	0.9106	0.001037	0.001354	-0.000317
p115_1024x768.png	p	PileA	399695	204799	1.9516	0.000000	0.001970	-0.001970
p116_1024x768.png	p	PASS	336654	431423	0.7803	0.002189	0.002709	-0.000520
p117_1024x768.png	p	PileA	412693	374074	1.1032	0.000020	0.000156	-0.000136
p118_1024x768.png	p	PileB	273582	387003	0.7069	0.003409	0.001719	+0.001690
p119_1024x768.png	p	PASS	137377	199798	0.6876	0.000333	0.000344	-0.000011
