fixture	pile	c107_size	c107_dssim	tiny_size	tiny_dssim	size_ratio	dssim_delta	size_pass	dssim_pass	both_pass
n00_mars.png	PASS	262231	0.001556	340897	0.002005	0.7692	-0.000448	Y	Y	Y
n21_sun.png	PASS	158558	0.015111	225025	0.015112	0.7046	-0.000001	Y	Y	Y
n30_astronaut.png	PASS	227460	0.005304	382847	0.005185	0.5941	+0.000118	Y	N	N
p108_1024x768.png	PASS	178667	0.000547	273177	0.000683	0.6540	-0.000136	Y	Y	Y
p116_1024x768.png	PASS	401558	0.001668	431423	0.002709	0.9308	-0.001041	N	Y	N
p139_1920x1080.png	PASS	485178	0.001246	752508	0.001191	0.6447	+0.000055	Y	N	N
p157_1920x1080.png	PASS	629805	0.000623	829269	0.000983	0.7595	-0.000360	Y	Y	Y
p168_1920x1080.png	PASS	354723	0.000717	615950	0.000789	0.5759	-0.000072	Y	Y	Y
p180_2400x1600.png	PASS	720218	0.004800	874923	0.007186	0.8232	-0.002386	N	Y	N
p21_480x320.png	PASS	96766	0.000178	122600	0.000264	0.7893	-0.000085	Y	Y	Y
p23_480x320.png	PASS	33003	0.000988	42052	0.001122	0.7848	-0.000134	Y	Y	Y
p2_480x320.png	PASS	42082	0.003164	54677	0.003760	0.7696	-0.000596	Y	Y	Y
p402_sm_540x380.png	PASS	51501	0.003123	69489	0.003579	0.7411	-0.000455	Y	Y	Y
p41_480x320.png	PASS	51102	0.001204	70854	0.001276	0.7212	-0.000072	Y	Y	Y
p425_sm_380x320.png	PASS	52014	0.000211	71852	0.000280	0.7239	-0.000069	Y	Y	Y
p437_sm_540x320.png	PASS	49385	0.000529	70932	0.000801	0.6962	-0.000272	Y	Y	Y
p448_sm_620x260.png	PASS	43331	0.000334	61747	0.000445	0.7018	-0.000111	Y	Y	Y
p51_480x320.png	PASS	42381	0.000633	57913	0.000800	0.7318	-0.000168	Y	Y	Y
p5_480x320.png	PASS	36532	0.006849	51296	0.008583	0.7122	-0.001734	Y	Y	Y
