fixture	pile	n_pixels	branch	K	d	c_size	c_dssim	tiny_size	tiny_dssim	ratio	both_pass
n00_mars.png	PASS	739840	small→K128	128	0.0	238096	0.002244	340897	0.002005	0.6984	N
p10_480x320.png	PASS	153600	small→K128	128	0.0	44433	0.000752	63638	0.000587	0.6982	N
p159_1920x1080.png	PASS	2073600	big→K224	224	0.3	733680	0.000729	935676	0.000924	0.7841	Y
p220_2400x1600.png	PASS	3840000	big→K224	224	0.3	1212909	0.001881	1397664	0.002440	0.8678	N
p405_sm_380x320.png	PASS	121600	small→K128	128	0.0	24223	0.008326	42507	0.007468	0.5699	N
p447_sm_540x200.png	PASS	108000	small→K128	128	0.0	18505	0.000976	33626	0.000593	0.5503	N
p64_1024x768.png	PASS	786432	small→K128	128	0.0	114092	0.004280	216671	0.003442	0.5266	N
s011_gradient_2345x2127.png	PASS	4987815	big→K224	224	0.3	106204	0.000000	191227	0.000185	0.5554	Y
n09_nebula.png	PileA	819200	small→K128	128	0.0	418338	0.005257	494454	0.008298	0.8461	N
p135_1920x1080.png	PileA	2073600	big→K224	224	0.3	706702	0.001171	835245	0.001255	0.8461	N
p194_2400x1600.png	PileA	3840000	big→K224	224	0.3	2154515	0.000771	2201631	0.001191	0.9786	N
p245_3840x2560.png	PileA	9830400	big→K224	224	0.3	1323911	0.008299	1990567	0.011483	0.6651	Y
p28_480x320.png	PileA	153600	small→K128	128	0.0	94820	0.000673	111664	0.000808	0.8492	N
p436_sm_460x260.png	PileA	119600	small→K128	128	0.0	39947	0.000955	55435	0.000609	0.7206	N
s005_gradient_1267x606.png	PileA	767802	small→K128	128	0.0	31035	0.000025	51833	0.000091	0.5987	Y
s069_text.png	PileA	480000	small→K128	128	0.0	4005	0.000006	3714	0.000009	1.0784	N
n03_mars.png	PileB	1350400	small→K128	128	0.0	273292	0.005329	483486	0.004058	0.5653	N
n27_hubble.png	PileB	450000	small→K128	128	0.0	82333	0.005078	126717	0.003664	0.6497	N
p122_1920x1080.png	PileB	2073600	big→K224	224	0.3	263748	0.005001	491824	0.003831	0.5363	N
p178_1920x1080.png	PileB	2073600	big→K224	224	0.3	805664	0.002417	933197	0.002275	0.8633	N
p238_2400x1600.png	PileB	3840000	big→K224	224	0.3	1403025	0.002852	1681644	0.003200	0.8343	N
p429_sm_300x320.png	PileB	96000	small→K128	128	0.0	28906	0.002112	44935	0.000812	0.6433	N
p89_1024x768.png	PileB	786432	small→K128	128	0.0	147648	0.004644	292903	0.001851	0.5041	N
s009_gradient_782x748.png	PileB	584936	small→K128	128	0.0	1944	0.000068	4104	0.000000	0.4737	N
mi0.png	PileC	9216	small→K128	128	0.0	727	0.000016	831	0.000006	0.8748	N
p128_1920x1080.png	PileC	2073600	big→K224	224	0.3	618282	0.000983	756448	0.000997	0.8173	N
p181_2400x1600.png	PileC	3840000	big→K224	224	0.3	823289	0.004297	871705	0.004865	0.9445	N
p1_480x320.png	PileC	153600	small→K128	128	0.0	45208	0.003403	61574	0.002772	0.7342	N
p264_3840x2560.png	PileC	9830400	big→K224	224	0.3	3761676	0.001452	4048658	0.002014	0.9291	N
p61_1024x768.png	PileC	786432	small→K128	128	0.0	148349	0.004186	234630	0.003119	0.6323	N
p87_1024x768.png	PileC	786432	small→K128	128	0.0	423403	0.002039	558368	0.000985	0.7583	N
s038_noise_1700x1340.png	PileC	2278000	big→K224	224	0.3	2226953	0.002899	2279270	0.003326	0.9770	N
01-png-transparency-demo.png	b7	480000	small→K128	128	0.0	40589	0.030435	48295	0.219567	0.8404	N
02-pluto-transparent.png	b7	399424	small→K128	128	0.0	136223	0.000700	180788	0.018355	0.7535	Y
03-wikipedia-logo.png	b7	36600	small→K128	128	0.0	13004	0.000071	13492	0.131354	0.9638	N
04-photo-portrait.png	b7	960000	small→K128	128	0.0	378397	0.000886	569959	0.001619	0.6639	Y
05-photo-mountain.png	b7	960000	small→K128	128	0.0	309847	0.003562	434250	0.002231	0.7135	N
06-photo-landscape.png	b7	1440000	small→K128	128	0.0	934150	0.000759	1091878	0.000854	0.8555	N
07-photo-product.png	b7	786432	small→K128	128	0.0	267265	0.000759	367414	0.000715	0.7274	N
