fixture	pile	n_pixels	branch	K	d	c_size	c_dssim	tiny_size	tiny_dssim	ratio	both_pass
mi0.png	PileC	9216	small→K128	128	0.0	727	0.000016	831	0.000006	0.8748	N
mi1.png	PileC	9216	small→K128	128	0.0	740	0.000018	874	0.000006	0.8467	N
mi2.png	PileC	9216	small→K128	128	0.0	593	0.000016	698	0.000005	0.8496	N
n00_mars.png	PASS	739840	small→K128	128	0.0	254458	0.001595	340897	0.002005	0.7464	Y
n01_mars.png	PASS	1359360	small→K128	128	0.0	322292	0.003032	479278	0.003190	0.6725	Y
n02_mars.png	PASS	1561600	small→K128	128	0.0	371572	0.002384	544523	0.002485	0.6824	Y
n03_mars.png	PileB	1350400	small→K128	128	0.0	308972	0.004281	483486	0.004058	0.6391	N
n04_mars.png	PileB	1187840	small→K128	128	0.0	368487	0.003349	504710	0.002910	0.7301	N
n05_jupiter.png	PileB	531615	small→K128	128	0.0	146482	0.000374	207736	0.000302	0.7051	N
n06_jupiter.png	PileB	545600	small→K128	128	0.0	110268	0.005130	186903	0.003063	0.5900	N
n07_jupiter.png	PASS	369280	small→K128	128	0.0	124430	0.000629	160749	0.000651	0.7741	Y
n08_jupiter.png	PileB	355840	small→K128	128	0.0	95807	0.001285	126350	0.001123	0.7583	N
n09_nebula.png	PileA	819200	small→K128	128	0.0	459804	0.003444	494454	0.008298	0.9299	N
n10_nebula.png	PileA	270080	small→K128	128	0.0	167023	0.001265	182134	0.002352	0.9170	N
n11_nebula.png	PileA	400014	small→K128	128	0.0	171176	0.000000	60684	0.005113	2.8208	N
n12_nebula.png	PileA	1309440	small→K128	128	0.0	710732	0.001612	769676	0.003623	0.9234	N
n13_nebula.png	PileA	1592320	small→K128	128	0.0	600663	0.002291	645039	0.004253	0.9312	N
n14_galaxy.png	PileA	1638400	small→K128	128	0.0	779758	0.001078	901681	0.002720	0.8648	N
n15_galaxy.png	PileA	382080	small→K128	128	0.0	165537	0.001288	206151	0.003915	0.8030	N
n16_galaxy.png	PileA	1638400	small→K128	128	0.0	978680	0.000591	1112319	0.002027	0.8799	N
n17_galaxy.png	PileA	400640	small→K128	128	0.0	194060	0.000000	120520	0.003261	1.6102	N
n18_galaxy.png	PileA	394880	small→K128	128	0.0	132427	0.001106	150877	0.003410	0.8777	N
n19_moon.png	PileA	1146880	small→K128	128	0.0	297763	0.000019	273925	0.000652	1.0870	N
n20_moon.png	PileA	409600	small→K128	128	0.0	219738	0.000705	271814	0.001135	0.8084	N
n21_sun.png	PASS	832000	small→K128	128	0.0	159680	0.014727	225025	0.015112	0.7096	Y
n22_sun.png	PileA	229120	small→K128	128	0.0	66334	0.000382	71633	0.001707	0.9260	N
n23_sun.png	PASS	409600	small→K128	128	0.0	124663	0.001246	201468	0.002362	0.6188	Y
n24_sun.png	PileA	1638400	small→K128	128	0.0	1118488	0.000000	392459	0.017567	2.8499	N
n25_hubble.png	PileA	1594880	small→K128	128	0.0	1304418	0.001197	1407354	0.002190	0.9269	N
n26_hubble.png	PASS	409600	small→K128	128	0.0	74647	0.000809	95042	0.001385	0.7854	Y
n27_hubble.png	PileB	450000	small→K128	128	0.0	96692	0.004372	126717	0.003664	0.7631	N
n28_astronaut.png	PASS	1228800	small→K128	128	0.0	337157	0.003699	451243	0.004752	0.7472	Y
n29_astronaut.png	PileB	1091840	small→K128	128	0.0	328795	0.005630	455819	0.005080	0.7213	N
n30_astronaut.png	PASS	1091840	small→K128	128	0.0	232597	0.005057	382847	0.005185	0.6075	Y
n31_rover.png	PileC	307200	small→K128	128	0.0	158370	0.001370	177902	0.001354	0.8902	N
n32_rover.png	PileA	1634560	small→K128	128	0.0	516979	0.000076	482564	0.000439	1.0713	N
n33_rover.png	PileB	1067520	small→K128	128	0.0	349799	0.001135	488730	0.001125	0.7157	N
n34_comet.png	PileA	306560	small→K128	128	0.0	71485	0.000195	63336	0.003450	1.1287	N
n35_comet.png	PileA	498688	small→K128	128	0.0	138313	0.000334	163331	0.001088	0.8468	N
n36_comet.png	PileA	236160	small→K128	128	0.0	17594	0.000006	12835	0.000632	1.3708	N
p0_480x320.png	PileA	153600	small→K128	128	0.0	44916	0.002922	55730	0.004327	0.8060	N
p100_1024x768.png	PASS	786432	small→K128	128	0.0	252202	0.000948	344191	0.001635	0.7327	Y
p101_1024x768.png	PASS	786432	small→K128	128	0.0	190901	0.001335	287524	0.001475	0.6639	Y
p102_1024x768.png	PileA	786432	small→K128	128	0.0	332938	0.000005	290334	0.000156	1.1467	N
p103_1024x768.png	PileA	786432	small→K128	128	0.0	182110	0.000083	161390	0.000301	1.1284	N
p104_1024x768.png	PASS	786432	small→K128	128	0.0	232784	0.000911	318336	0.001018	0.7313	Y
p105_1024x768.png	PileA	786432	small→K128	128	0.0	266371	0.000655	308358	0.001369	0.8638	N
