fixture	pile	n_pixels	c_size	c_dssim	tiny_size	tiny_dssim	baseline_size	baseline_dssim	size_pass	dssim_pass	both	baseline_both	regression
mi0.png	PileC	9216	727	0.000016	831	0.000006	727	0.000016	N	Y	N	N	
mi1.png	PileC	9216	740	0.000018	874	0.000006	740	0.000018	N	N	N	N	
mi2.png	PileC	9216	593	0.000016	698	0.000005	593	0.000016	N	N	N	N	
n00_mars.png	PASS	739840	254458	0.001595	340897	0.002005	254458	0.001595	Y	Y	Y	Y	
n01_mars.png	PASS	1359360	322292	0.003032	479278	0.003190	322292	0.003032	Y	Y	Y	Y	
n02_mars.png	PASS	1561600	371572	0.002384	544523	0.002485	371572	0.002384	Y	Y	Y	Y	
n03_mars.png	PileB	1350400	308972	0.004281	483486	0.004058	308972	0.004281	Y	N	N	N	
n04_mars.png	PileB	1187840	368487	0.003349	504710	0.002910	368487	0.003349	Y	N	N	N	
n05_jupiter.png	PileB	531615	146482	0.000374	207736	0.000302	146482	0.000374	Y	N	N	N	
n06_jupiter.png	PileB	545600	110268	0.005130	186903	0.003063	110268	0.005130	Y	N	N	N	
n07_jupiter.png	PASS	369280	124430	0.000629	160749	0.000651	124430	0.000629	Y	Y	Y	Y	
n08_jupiter.png	PileB	355840	95807	0.001285	126350	0.001123	95807	0.001285	Y	N	N	N	
n09_nebula.png	PileA	819200	459804	0.003444	494454	0.008298	459804	0.003444	N	Y	N	N	
n10_nebula.png	PileA	270080	167023	0.001265	182134	0.002352	167023	0.001265	N	Y	N	N	
n11_nebula.png	PileA	400014	171176	0.000000	60684	0.005113	171176	0.000000	N	Y	N	N	
n12_nebula.png	PileA	1309440	710732	0.001612	769676	0.003623	710732	0.001612	N	Y	N	N	
n13_nebula.png	PileA	1592320	600663	0.002291	645039	0.004253	600663	0.002291	N	Y	N	N	
n14_galaxy.png	PileA	1638400	779758	0.001078	901681	0.002720	779758	0.001078	N	Y	N	N	
n15_galaxy.png	PileA	382080	165537	0.001288	206151	0.003915	165537	0.001288	N	Y	N	N	
n16_galaxy.png	PileA	1638400	978680	0.000591	1112319	0.002027	978680	0.000591	N	Y	N	N	
n17_galaxy.png	PileA	400640	194060	0.000000	120520	0.003261	194060	0.000000	N	Y	N	N	
n18_galaxy.png	PileA	394880	132427	0.001106	150877	0.003410	132427	0.001106	N	Y	N	N	
n19_moon.png	PileA	1146880	297763	0.000019	273925	0.000652	297763	0.000019	N	Y	N	N	
n20_moon.png	PileA	409600	219738	0.000705	271814	0.001135	219738	0.000705	N	Y	N	N	
n21_sun.png	PASS	832000	159680	0.014727	225025	0.015112	159680	0.014727	Y	Y	Y	Y	
n22_sun.png	PileA	229120	66334	0.000382	71633	0.001707	66334	0.000382	N	Y	N	N	
n23_sun.png	PASS	409600	124663	0.001246	201468	0.002362	124663	0.001246	Y	Y	Y	Y	
n24_sun.png	PileA	1638400	1118488	0.000000	392459	0.017567	1118488	0.000000	N	Y	N	N	
n25_hubble.png	PileA	1594880	1304418	0.001197	1407354	0.002190	1304418	0.001197	N	Y	N	N	
n26_hubble.png	PASS	409600	74647	0.000809	95042	0.001385	74647	0.000809	Y	Y	Y	Y	
n27_hubble.png	PileB	450000	96692	0.004372	126717	0.003664	96692	0.004372	Y	N	N	N	
n28_astronaut.png	PASS	1228800	337157	0.003699	451243	0.004752	337157	0.003699	Y	Y	Y	Y	
n29_astronaut.png	PileB	1091840	328795	0.005630	455819	0.005080	328795	0.005630	Y	N	N	N	
n30_astronaut.png	PASS	1091840	232597	0.005057	382847	0.005185	232597	0.005057	Y	Y	Y	Y	
n31_rover.png	PileC	307200	158370	0.001370	177902	0.001354	158370	0.001370	N	N	N	N	
n32_rover.png	PileA	1634560	516979	0.000076	482564	0.000439	516979	0.000076	N	Y	N	N	
n33_rover.png	PileB	1067520	349799	0.001135	488730	0.001125	349799	0.001135	Y	Y	Y	Y	
n34_comet.png	PileA	306560	71485	0.000195	63336	0.003450	71485	0.000195	N	Y	N	N	
n35_comet.png	PileA	498688	138313	0.000334	163331	0.001088	138313	0.000334	N	Y	N	N	
n36_comet.png	PileA	236160	17594	0.000006	12835	0.000632	17594	0.000006	N	Y	N	N	
p0_480x320.png	PileA	153600	44916	0.002922	55730	0.004327	44916	0.002922	N	Y	N	N	
p100_1024x768.png	PASS	786432	252202	0.000948	344191	0.001635	252202	0.000948	Y	Y	Y	Y	
p101_1024x768.png	PASS	786432	190901	0.001335	287524	0.001475	190901	0.001335	Y	Y	Y	Y	
p102_1024x768.png	PileA	786432	332938	0.000005	290334	0.000156	332938	0.000005	N	Y	N	N	
p103_1024x768.png	PileA	786432	182110	0.000083	161390	0.000301	182110	0.000083	N	Y	N	N	
p104_1024x768.png	PASS	786432	232784	0.000911	318336	0.001018	232784	0.000911	Y	Y	Y	Y	
p105_1024x768.png	PileA	786432	266371	0.000655	308358	0.001369	266371	0.000655	N	Y	N	N	
p106_1024x768.png	PileA	786432	232913	0.000032	222351	0.000108	232913	0.000032	N	Y	N	N	
p107_1024x768.png	PileA	786432	287057	0.000000	185286	0.000889	287057	0.000000	N	Y	N	N	
p108_1024x768.png	PASS	786432	188733	0.000472	273177	0.000683	188733	0.000472	Y	Y	Y	Y	
