fixture	tiles_n	K	dssim	tiny_dssim	dssim_pass
p125_1920x1080.png	2x2	64	0.014443	0.009766	N
p125_1920x1080.png	2x2	128	0.009305	0.009766	Y
p125_1920x1080.png	3x3	64	0.010199	0.009766	N
p125_1920x1080.png	3x3	128	0.006657	0.009766	Y
p125_1920x1080.png	4x4	64	0.008645	0.009766	Y
p125_1920x1080.png	4x4	128	0.005164	0.009766	Y
p274_3840x2560.png	2x2	64	0.006455	0.003084	N
p274_3840x2560.png	2x2	128	0.004679	0.003084	N
p274_3840x2560.png	3x3	64	0.005298	0.003084	N
p274_3840x2560.png	3x3	128	0.003584	0.003084	N
p274_3840x2560.png	4x4	64	0.004969	0.003084	N
p274_3840x2560.png	4x4	128	0.003358	0.003084	N
p214_2400x1600.png	2x2	64	0.005867	0.002845	N
p214_2400x1600.png	2x2	128	0.004206	0.002845	N
p214_2400x1600.png	3x3	64	0.004626	0.002845	N
p214_2400x1600.png	3x3	128	0.002958	0.002845	N
p214_2400x1600.png	4x4	64	0.004228	0.002845	N
p214_2400x1600.png	4x4	128	0.002753	0.002845	Y
p115_1024x768.png	2x2	64	0.003294	0.001970	N
p115_1024x768.png	2x2	128	0.001872	0.001970	Y
p115_1024x768.png	3x3	64	0.002210	0.001970	N
p115_1024x768.png	3x3	128	0.001178	0.001970	Y
p115_1024x768.png	4x4	64	0.001497	0.001970	Y
p115_1024x768.png	4x4	128	0.000789	0.001970	Y
p175_1920x1080.png	2x2	64	0.003329	0.001966	N
p175_1920x1080.png	2x2	128	0.001928	0.001966	Y
p175_1920x1080.png	3x3	64	0.002414	0.001966	N
p175_1920x1080.png	3x3	128	0.001362	0.001966	Y
p175_1920x1080.png	4x4	64	0.001759	0.001966	Y
p175_1920x1080.png	4x4	128	0.000966	0.001966	Y
p167_1920x1080.png	2x2	64	0.001420	0.000880	N
p167_1920x1080.png	2x2	128	0.000831	0.000880	Y
p167_1920x1080.png	3x3	64	0.001082	0.000880	N
p167_1920x1080.png	3x3	128	0.000634	0.000880	Y
p167_1920x1080.png	4x4	64	0.000814	0.000880	Y
p167_1920x1080.png	4x4	128	0.000465	0.000880	Y
