fixture	q	tiny_KB	tiny_dssim	webp_KB	webp_dssim	ratio	size_pass	dssim_pass	both
p115_1024x768.png	75	200.0	0.001970	17.3	0.001373	0.0863	Y	Y	Y
p115_1024x768.png	80	200.0	0.001970	21.6	0.001091	0.1079	Y	Y	Y
p115_1024x768.png	85	200.0	0.001970	28.0	0.000859	0.1402	Y	Y	Y
p115_1024x768.png	90	200.0	0.001970	39.2	0.000618	0.1958	Y	Y	Y
p115_1024x768.png	95	200.0	0.001970	61.5	0.000336	0.3074	Y	Y	Y
p125_1920x1080.png	75	466.7	0.009766	46.4	0.007535	0.0995	Y	Y	Y
p125_1920x1080.png	80	466.7	0.009766	57.4	0.005871	0.1230	Y	Y	Y
p125_1920x1080.png	85	466.7	0.009766	70.9	0.005002	0.1520	Y	Y	Y
p125_1920x1080.png	90	466.7	0.009766	98.1	0.004047	0.2102	Y	Y	Y
p125_1920x1080.png	95	466.7	0.009766	153.6	0.002839	0.3291	Y	Y	Y
p167_1920x1080.png	75	442.0	0.000880	31.4	0.001151	0.0711	Y	N	N
p167_1920x1080.png	80	442.0	0.000880	39.3	0.000911	0.0890	Y	N	N
p167_1920x1080.png	85	442.0	0.000880	51.3	0.000699	0.1160	Y	Y	Y
p167_1920x1080.png	90	442.0	0.000880	74.0	0.000493	0.1674	Y	Y	Y
p167_1920x1080.png	95	442.0	0.000880	111.8	0.000302	0.2531	Y	Y	Y
p175_1920x1080.png	75	511.0	0.001966	37.5	0.001389	0.0734	Y	Y	Y
p175_1920x1080.png	80	511.0	0.001966	49.8	0.001140	0.0974	Y	Y	Y
p175_1920x1080.png	85	511.0	0.001966	65.4	0.000912	0.1280	Y	Y	Y
p175_1920x1080.png	90	511.0	0.001966	95.2	0.000581	0.1863	Y	Y	Y
p175_1920x1080.png	95	511.0	0.001966	161.6	0.000287	0.3162	Y	Y	Y
p214_2400x1600.png	75	1072.3	0.002845	102.0	0.001680	0.0952	Y	Y	Y
p214_2400x1600.png	80	1072.3	0.002845	124.8	0.001265	0.1164	Y	Y	Y
p214_2400x1600.png	85	1072.3	0.002845	153.8	0.000988	0.1434	Y	Y	Y
p214_2400x1600.png	90	1072.3	0.002845	214.2	0.000688	0.1997	Y	Y	Y
p214_2400x1600.png	95	1072.3	0.002845	321.1	0.000361	0.2994	Y	Y	Y
p274_3840x2560.png	75	2443.8	0.003084	187.9	0.001463	0.0769	Y	Y	Y
p274_3840x2560.png	80	2443.8	0.003084	229.2	0.001120	0.0938	Y	Y	Y
p274_3840x2560.png	85	2443.8	0.003084	281.0	0.000875	0.1150	Y	Y	Y
p274_3840x2560.png	90	2443.8	0.003084	395.0	0.000646	0.1616	Y	Y	Y
p274_3840x2560.png	95	2443.8	0.003084	591.9	0.000393	0.2422	Y	Y	Y
