fixture	q	tiny_KB	tiny_dssim	avif_KB	avif_dssim	ratio	size_pass	dssim_pass	both
p115_1024x768.png	70	200.0	0.001970	14.7	0.001057	0.0737	Y	Y	Y
p115_1024x768.png	80	200.0	0.001970	17.6	0.000857	0.0880	Y	Y	Y
p115_1024x768.png	90	200.0	0.001970	29.4	0.000399	0.1471	Y	Y	Y
p125_1920x1080.png	70	466.7	0.009766	35.1	0.005865	0.0753	Y	Y	Y
p125_1920x1080.png	80	466.7	0.009766	41.8	0.004588	0.0896	Y	Y	Y
p125_1920x1080.png	90	466.7	0.009766	69.4	0.002382	0.1487	Y	Y	Y
p167_1920x1080.png	70	442.0	0.000880	26.0	0.000824	0.0588	Y	Y	Y
p167_1920x1080.png	80	442.0	0.000880	31.0	0.000639	0.0700	Y	Y	Y
p167_1920x1080.png	90	442.0	0.000880	56.1	0.000268	0.1270	Y	Y	Y
p175_1920x1080.png	70	511.0	0.001966	29.4	0.001172	0.0576	Y	Y	Y
p175_1920x1080.png	80	511.0	0.001966	37.5	0.000934	0.0733	Y	Y	Y
p175_1920x1080.png	90	511.0	0.001966	75.6	0.000295	0.1479	Y	Y	Y
p214_2400x1600.png	70	1072.3	0.002845	86.8	0.001004	0.0810	Y	Y	Y
p214_2400x1600.png	80	1072.3	0.002845	101.6	0.000755	0.0948	Y	Y	Y
p214_2400x1600.png	90	1072.3	0.002845	158.7	0.000323	0.1480	Y	Y	Y
p274_3840x2560.png	70	2443.8	0.003084	152.3	0.000903	0.0623	Y	Y	Y
p274_3840x2560.png	80	2443.8	0.003084	180.0	0.000666	0.0736	Y	Y	Y
p274_3840x2560.png	90	2443.8	0.003084	284.6	0.000285	0.1165	Y	Y	Y
